word,frequency
awake,8.119157
award,12.389249
aware,46.339747
awash,0.463874
awful,8.152046
awoke,3.175302
axial,6.500279
axiom,2.029246
axion,0.043679
azure,0.70987
bacon,7.072247
badge,2.222271
badly,14.144712
bagel,0.219746
baggy,0.555993
baker,10.6142
baler,0.082165
balmy,0.386934
banal,0.891479
banjo,0.678404
barge,1.827354
baron,5.909848
basal,8.285227
basic,106.715744
basil,4.206241
basin,13.717009
basis,104.183801
baste,0.260381
batch,5.554403
bathe,1.630115
baton,2.334142
batty,0.18761
bawdy,0.408149
bayou,0.672307
beach,21.687168
beady,0.206661
beard,6.580744
beast,6.955893
beech,1.390339
beefy,0.20196
befit,0.108343
began,151.066269
begat,0.27986
beget,0.515683
begin,63.313787
begun,27.41029
being,238.640655
belch,0.209321
belie,0.36472
belle,3.107629
belly,6.291862
below,105.809401
bench,8.978357
beret,0.395429
berry,4.137454
berth,1.126914
beset,2.014833
betel,0.622619
bevel,0.829411
bezel,0.104486
bible,26.402631
bicep,0.073274
biddy,0.275749
bigot,0.305122
bilge,0.284192
billy,8.690835
binge,0.892731
bingo,0.71781
biome,0.17839
birch,3.005962
birth,49.928783
bison,1.19027
bitty,0.112501
black,158.77652
blade,9.022059
blame,14.201024
bland,2.164104
blank,11.489997
blare,0.182953
blast,5.77361
blaze,2.021374
bleak,2.56448
bleat,0.123125
bleed,1.951925
bleep,0.059761
blend,5.40281
bless,5.191856
blimp,0.141922
blind,21.149528
blink,1.304008
bliss,4.692417
blitz,0.599596
bloat,0.145794
block,42.234742
bloke,0.421876
blond,3.439678
blood,132.957261
bloom,6.147527
blown,6.310481
bluer,0.136717
bluff,2.78161
blunt,4.28577
blurb,0.150757
blurt,0.193608
blush,1.823846
board,78.295969
boast,2.829407
bobby,4.395817
boney,0.112818
bongo,0.183293
bonus,3.928149
booby,0.441236
boost,3.428678
booth,5.372775
booty,1.260773
booze,0.845853
boozy,0.058948
borax,0.455927
borne,10.11639
bosom,3.335307
bossy,0.343552
botch,0.083279
bough,0.772243
boule,0.210926
bound,40.055547
bowel,7.441779
boxer,1.414916
brace,5.200636
braid,1.103939
brain,61.107903
brake,3.839107
brand,12.493822
brash,0.585215
brass,7.39881
brave,9.574108
bravo,1.079065
brawl,0.493279
brawn,0.226029
bread,20.922873
break,45.652765
breed,5.810071
briar,0.338427
bribe,1.496482
brick,10.541413
bride,8.401422
brief,41.118451
brine,1.348563
bring,82.760129
brink,2.287609
briny,0.101129
brisk,1.994518
broad,40.35653
broil,0.25166
broke,27.254704
brood,1.705981
brook,3.805306
broom,1.810384
broth,2.309336
brown,60.545354
brunt,1.146088
brush,11.078106
brute,2.541861
buddy,3.215505
budge,1.161508
buggy,1.230532
bugle,0.629187
build,40.417916
built,73.589952
bulge,1.461579
bulky,1.867604
bully,1.647156
bunch,6.028556
bunny,1.092107
burly,0.752046
burnt,6.166284
burst,12.961772
bused,0.104502
bushy,0.97337
butch,0.941262
butte,0.868765
buxom,0.205353
buyer,7.111007
bylaw,0.092039
cabal,0.31831
cabby,0.108791
cabin,9.790429
cable,14.399769
cacao,0.675923
cache,3.828432
cacti,0.346137
caddy,0.366417
cadet,1.222097
cagey,0.102714
cairn,0.636156
camel,2.48023
cameo,0.378717
canal,17.839206
candy,4.500212
canny,0.407198
canoe,4.218002
canon,6.38293
caper,0.274302
caput,0.352681
carat,0.24083
cargo,7.542856
carol,6.108462
carry,50.628573
carve,1.230738
caste,10.603549
catch,22.578916
cater,1.467719
catty,0.141569
caulk,0.136396
cause,124.146191
cavil,0.143904
cease,9.075014
cedar,3.204846
cello,0.894055
chafe,0.375094
chaff,0.767502
chain,32.358378
chair,33.130938
chalk,3.177336
champ,0.707317
chant,2.53366
chaos,9.305534
chard,0.25411
charm,7.581981
chart,18.076215
chase,8.337928
chasm,1.128123
cheap,11.347156
cheat,1.880423
check,48.178446
cheek,8.480979
cheer,3.408621
chess,3.285833
chest,27.102488
chick,2.897131
chide,0.215608
chief,68.14122
child,180.886155
chili,1.074736
chill,4.032092
chime,0.431766
china,65.566184
chirp,0.333793
chock,0.23628
choir,3.852707
choke,1.60666
chord,3.262616
chore,0.982812
chose,18.216793
chuck,2.794477
chump,0.108192
chunk,1.393074
churn,0.504275
chute,1.046144
cider,0.966302
cigar,3.271813
cinch,0.248778
circa,2.233905
civic,8.694236
civil,67.541112
clack,0.246067
claim,49.131124
clamp,2.544929
clang,0.390383
clank,0.168452
clash,4.070947
clasp,1.17646
class,160.716521
clean,31.784063
clear,135.451317
cleat,0.198955
cleft,3.388286
clerk,9.783294
click,23.54022
cliff,5.785252
climb,9.244402
cling,2.395005
clink,0.296183
cloak,3.745181
clock,13.93486
clone,1.73782
close,120.189275
cloth,16.048471
cloud,13.903458
clout,0.945349
clove,0.634515
clown,1.815886
cluck,0.155827
clued,0.047671
clump,1.123422
clung,3.241393
coach,9.602355
coast,36.627162
cobra,0.966937
cocoa,2.754564
colon,7.042196
color,58.379672
comet,1.732698
comfy,0.161535
comic,7.876511
comma,1.619888
conch,0.61372
condo,0.508524
conic,0.415447
copse,0.267976
coral,4.733447
corer,0.066472
corny,0.330495
couch,5.615761
cough,5.083275
could,23.183004
count,32.177419
coupe,0.521847
court,122.433514
coven,0.248199
cover,51.586527
covet,0.445272
covey,0.380944
cower,0.196933
coyly,0.219564
crack,11.729563
craft,11.497739
cramp,0.611362
crane,4.442885
crank,1.57607
crash,6.443206
crass,0.484848
crate,0.938
crave,0.893262
crawl,2.643438
craze,0.785784
crazy,11.364851
creak,0.478141
cream,12.208817
credo,0.844506
creed,4.515909
creek,15.402397
creep,4.699702
creme,0.36097
crepe,0.516631
crept,3.454452
cress,0.239958
crest,5.434121
crick,0.66235
cried,23.127632
crier,0.269438
crime,34.646561
crimp,0.298744
crisp,2.977663
croak,0.272966
crock,0.312507
crone,0.404566
crony,0.186948
crook,1.74436
cross,77.049736
croup,0.59564
crowd,22.914743
crown,20.54579
crude,10.714195
cruel,9.068315
crumb,0.520163
crump,0.313299
crush,3.453774
crust,4.608369
crypt,0.896842
cubic,5.453758
cumin,0.353221
curio,0.228863
curly,2.012693
curry,1.852065
curse,6.018524
curve,34.688342
curvy,0.0972
cutie,0.080314
cyber,0.628965
cycle,40.335985
cynic,0.573565
daddy,6.964134
daily,61.761833
dairy,6.06837
daisy,2.482152
dally,0.366746
dance,29.50305
dandy,1.007666
datum,1.735889
daunt,0.158483
dealt,16.915694
death,163.536308
debar,0.111689
debit,1.18459
debug,1.000028
debut,2.006434
decal,0.117024
decay,11.144252
decor,1.314251
decoy,0.470217
decry,0.291236
defer,1.459673
deign,0.272391
deity,6.024065
delay,22.155518
delta,8.146139
delve,0.668367
demon,4.063522
demur,0.243098
denim,0.505302
dense,10.773698
depot,3.188165
depth,33.90362
derby,2.060264
deter,2.451998
detox,0.129344
deuce,0.400788
devil,12.551886
diary,13.829011
dicey,0.321469
digit,4.269874
dilly,0.175691
dimly,1.899533
diner,0.931182
dingo,0.166506
dingy,0.751947
diode,3.593318
dirge,0.336191
dirty,11.174101
disco,0.746235
ditch,3.855113
ditto,1.057137
ditty,0.219635
diver,1.2899
dizzy,1.828872
dodge,3.022099
dodgy,0.070146
dogma,3.000365
doing,99.892517
dolly,1.633595
donor,7.476087
donut,0.23268
dopey,0.114598
doubt,59.703579
dough,3.422812
dowdy,0.199966
dowel,0.484095
downy,0.471438
dowry,1.872729
dozen,15.447721
draft,17.148823
drain,8.542607
drake,2.907501
drama,20.38144
drank,7.425721
drape,0.541635
drawl,0.360498
drawn,46.204334
dread,4.683395
dream,35.50835
dress,24.473876
dried,12.852089
drier,1.251061
drift,8.275039
drill,6.819493
drink,30.822855
drive,45.241897
droit,1.826137
droll,0.363523
drone,0.689356
drool,0.175881
droop,0.49056
dross,0.328961
drove,18.950137
drown,1.805603
druid,0.355853
drunk,10.031672
dryer,1.203153
dryly,0.79209
duchy,0.938257
dully,0.402532
dummy,2.658081
dumpy,0.157873
dunce,0.183309
dusky,0.921359
dusty,3.450837
dutch,20.708407
duvet,0.092412
dwarf,2.731244
dwell,5.030304
dwelt,2.081122
dying,18.306382
eager,11.462356
eagle,6.540042
early,232.929846
earth,79.940786
easel,0.627721
eaten,9.360605
eater,0.885862
ebony,0.97423
eclat,0.147737
edict,1.819557
edify,0.12848
eerie,1.319622
egret,0.183563
eight,62.537723
eject,0.484099
eking,0.093962
elate,0.063118
elbow,6.64301
elder,10.234896
elect,5.365604
elegy,1.000737
elfin,0.19161
elide,0.07392
elite,14.172734
elope,0.169848
elude,0.804283
email,3.814673
embed,0.576336
ember,0.316419
emcee,0.091425
empty,30.351996
enact,1.93882
endow,0.665993
enema,0.952761
enemy,38.505623
enjoy,26.265637
ennui,0.398731
ensue,1.354652
enter,46.450492
entry,33.600068
envoy,1.639149
epoch,3.730514
epoxy,1.862665
equal,70.399638
equip,1.328477
erase,2.040496
erect,4.904151
erode,1.016379
error,46.698418
erupt,0.836098
essay,21.211093
ester,2.35619
ether,4.87632
ethic,4.061196
ethos,2.820504
etude,1.320141
evade,1.720676
event,58.74398
every,15.010271
evict,0.283669
evoke,3.013862
exact,23.194147
exalt,0.615214
excel,3.676997
exert,6.074903
exile,9.004808
exist,53.582115
expel,1.3739
extol,0.335188
extra,28.435699
exult,0.203236
eying,0.114118
fable,2.037083
facet,2.751908
faint,8.336933
fairy,5.633988
faith,62.384841
false,35.675383
fancy,9.912829
fanny,3.286095
farce,1.739572
fatal,11.073769
fatty,8.828024
fault,20.381392
fauna,3.536867
favor,23.515949
feast,7.99973
fecal,1.648195
feign,0.356225
fella,0.560639
felon,0.319273
femme,1.09125
femur,2.129451
fence,8.448407
feral,0.516682
ferry,4.721361
fetal,10.718987
fetch,4.072901
fetid,0.308008
fetus,5.673334
fever,18.247494
fewer,18.530572
fiber,14.169721
fibre,5.104276
ficus,0.233818
field,150.929509
fiend,0.680208
fiery,3.364458
fifth,27.212762
fifty,32.880209
fight,41.89025
filer,0.154301
filet,0.216753
filly,0.25292
filmy,0.206055
filth,1.406738
final,86.538436
finch,1.376572
finer,4.108379
first,758.151177
fishy,0.341471
fixer,0.347845
fizzy,0.076944
fjord,0.52993
flack,0.204429
flail,0.338788
flair,1.060593
flake,1.238539
flaky,0.274734
flame,10.810507
flank,3.89287
flare,2.236664
flash,10.847871
flask,2.987446
fleck,0.296461
fleet,14.107721
flesh,18.412422
flick,0.923182
flier,0.348
fling,1.118039
flint,3.563941
flirt,0.610406
float,5.50789
flock,4.124849
flood,12.611556
floor,58.995418
flora,5.659361
floss,0.538397
flour,8.15241
flout,0.204937
flown,3.131675
fluff,0.383624
fluid,37.889073
fluke,0.487301
flume,0.321889
flung,4.631427
flunk,0.108137
flush,4.039374
flute,2.760343
flyer,0.792855
foamy,0.326028
focal,9.114998
focus,59.230591
foggy,0.754326
foist,0.113797
folio,2.062076
folly,4.406758
foray,0.507585
force,133.254213
forge,2.859077
forgo,0.670155
forte,1.060423
forth,36.342569
forty,31.443634
forum,9.23115
found,344.864337
foyer,1.087508
frail,2.625188
frame,33.526775
frank,29.524103
fraud,6.083818
freak,1.245575
freed,6.970754
freer,1.690506
fresh,36.115851
friar,1.420318
fried,3.508108
frill,0.177498
frisk,0.151744
fritz,2.895922
frock,0.827976
frond,0.236914
front,98.069746
frost,6.230108
froth,0.621537
frown,2.012114
froze,2.071894
fruit,25.327732
fudge,0.501679
fugue,0.765009
fully,57.173364
fungi,4.466824
funky,0.311028
funny,10.666147
furor,0.490219
furry,0.600033
fussy,0.577723
fuzzy,5.126966
gaffe,0.108938
gaily,1.047623
gamer,0.12295
gamma,5.825685
gamut,0.913011
gassy,0.071327
gaudy,0.73277
gauge,7.484471
gaunt,1.314885
gauze,1.738351
gavel,0.315186
gawky,0.103329
gayer,0.157171
gayly,0.171612
gazer,0.058338
gecko,0.144665
geeky,0.031712
geese,1.924598
genie,0.761802
genre,7.652369
ghost,9.587138
ghoul,0.1293
giant,13.959948
giddy,0.82509
gipsy,0.369667
girly,0.069369
girth,0.642958
given,290.386993
giver,1.562371
glade,0.513999
gland,9.486501
glare,2.815343
glass,50.772144
glaze,1.9296
gleam,1.699223
glean,0.416192
glide,1.713667
glint,0.67536
gloat,0.191729
globe,8.291181
gloom,3.216032
glory,16.933473
gloss,2.103043
glove,2.300738
glyph,0.376687
gnash,0.054508
gnome,0.432238
godly,1.45649
going,198.590107
golem,0.238726
golly,0.228134
gonad,0.38645
goner,0.092967
goody,0.684144
gooey,0.150797
goofy,0.281128
goose,3.129285
gorge,2.049815
gouge,0.396832
gourd,0.911001
grace,27.069508
grade,28.365208
graft,6.38649
grail,1.130914
grain,22.945777
grand,31.53932
grant,31.457861
grape,2.260924
graph,12.91573
grasp,11.371253
grass,22.044955
grate,1.023332
grave,18.838968
gravy,0.87368
graze,0.940933
great,348.15727
greed,3.609586
green,65.11463
greet,3.516627
grief,12.132059
grill,1.744261
grime,0.461896
grimy,0.537695
grind,1.9793
gripe,0.207957
groan,1.471628
groin,1.408236
groom,2.610731
grope,0.357668
gross,20.389336
group,271.115113
grout,0.745561
grove,6.581596
growl,0.844744
grown,30.807245
gruel,0.428179
gruff,0.583237
grunt,0.832158
guard,25.084563
guava,0.220741
guess,24.249135
guest,11.148573
guide,43.240275
guild,3.490508
guile,0.549369
guilt,14.550245
guise,2.60337
gulch,0.510804
gully,1.029872
gumbo,0.194305
gummy,0.198511
guppy,0.147174
gusto,0.759788
gusty,0.20967
gypsy,1.949277
habit,16.09146
hairy,2.164881
halve,0.219159
handy,3.848212
happy,49.009288
hardy,5.862784
harem,0.961669
harpy,0.122252
harry,18.227607
harsh,8.814776
haste,3.807784
hasty,2.622877
hatch,3.625885
hater,0.337107
haunt,1.770471
haute,0.840502
haven,11.482497
havoc,1.710052
hazel,2.177118
heady,0.966671
heard,100.397462
heart,128.357442
heath,4.1109
heave,0.989967
heavy,59.361283
hedge,3.446667
hefty,0.636402
heist,0.129649
helix,2.209008
hello,6.597496
hence,60.180947
heron,1.090374
hilly,1.328501
hinge,2.126193
hippo,0.440491
hippy,0.149727
hitch,1.386573
hoard,1.164576
hobby,2.138429
hoist,1.02508
holly,2.387644
homer,5.158432
honey,9.327102
honor,21.944398
horde,0.945214
horny,0.719708
horse,38.638527
hotel,30.436654
hotly,1.101485
hound,1.366872
house,236.008193
hovel,0.297551
hover,0.904132
howdy,0.230956
human,254.900655
humid,2.368351
humor,10.595755
humph,0.241354
humus,0.957364
hunch,0.828642
hunky,0.070872
hurry,8.669675
husky,0.964804
hussy,0.144883
hutch,0.323027
hydro,1.625235
hyena,0.437613
hymen,0.392337
hyper,1.269414
icily,0.172214
icing,0.807383
ideal,38.904627
idiom,2.292294
idiot,2.609122
idler,0.405699
idyll,0.474593
igloo,0.188209
iliac,2.198773
image,80.880744
imbue,0.217855
impel,0.311385
imply,12.210181
inane,0.301094
inbox,0.207787
incur,1.734506
index,51.026388
inept,0.955203
inert,3.366551
infer,3.577941
ingot,0.551363
inlay,0.483179
inlet,4.424544
inner,38.287232
input,43.729844
inter,15.625996
intro,0.982983
ionic,4.836602
irate,0.562292
irony,6.924598
islet,1.172892
issue,90.559901
itchy,0.406413
ivory,4.518193
jaunt,0.225981
jazzy,0.12297
jelly,2.199122
jerky,0.638098
jetty,0.614917
jewel,2.500283
jiffy,0.142223
joint,49.601991
joist,0.362254
joker,0.431148
jolly,2.301875
joust,0.144867
judge,39.495979
juice,9.096015
juicy,0.844312
jumbo,0.600247
jumpy,0.287205
junta,1.420897
junto,0.205325
juror,0.651493
kappa,1.344314
karma,2.987077
kayak,0.442798
kebab,0.073912
khaki,0.907509
kinky,0.286741
kiosk,0.401093
kitty,2.314719
knack,0.866732
knave,0.465979
knead,0.346228
kneed,0.171449
kneel,1.261177
knelt,2.823247
knife,13.100855
knock,6.155641
knoll,0.874493
known,191.65856
koala,0.128809
krill,0.257998
label,13.887114
labor,86.31104
laden,4.29964
ladle,0.575769
lager,0.361866
lance,3.347425
lanky,0.442366
lapel,0.37377
lapse,2.834786
large,275.026919
larva,1.560496
lasso,0.391282
latch,1.494322
later,245.589524
lathe,0.919191
latte,0.145965
laugh,16.887503
layer,41.988845
leach,1.548763
leafy,1.162617
leaky,0.69336
leant,0.544612
leapt,1.714631
learn,66.912242
lease,7.536799
leash,0.908813
least,173.878679
leave,92.996226
ledge,2.21361
leech,0.881382
leery,0.210098
lefty,0.350739
legal,70.097941
leggy,0.086862
lemon,4.561273
lemur,0.138945
leper,0.629576
level,212.095488
lever,4.251704
libel,1.780686
liege,0.961577
light,173.467557
liken,0.257412
lilac,0.802024
limbo,0.813024
limit,37.75559
linen,4.73539
liner,2.083477
lingo,0.462943
lipid,6.97647
lithe,0.442215
liver,27.598605
livid,0.620542
llama,0.339485
loamy,0.280125
loath,0.694775
lobby,5.225855
local,172.02393
locus,6.503914
lodge,8.591022
lofty,3.631245
logic,33.079295
login,1.301848
loopy,0.068113
loose,18.566093
lorry,1.015119
loser,1.381507
louse,0.564991
lousy,1.19253
lover,11.439512
lower,122.373361
lowly,1.524349
loyal,8.411471
lucid,1.691382
lucky,11.058571
lumen,3.583986
lumpy,0.522422
lunar,3.180269
lunch,16.763677
lunge,0.421151
lupus,2.477744
lurch,0.527742
lurid,0.746196
lusty,0.564793
lying,24.495761
lymph,6.775196
lynch,3.066452
lyric,3.154773
macaw,0.12869
macho,0.796578
macro,6.042743
madam,3.750215
madly,0.994839
mafia,1.386347
magic,17.85
magma,1.214311
maize,4.879297
major,167.678075
maker,7.302854
mambo,0.207616
mamma,1.996539
mammy,0.559446
manga,0.299172
mange,0.275737
mango,1.20529
mangy,0.173693
mania,2.074075
manic,2.002061
manly,2.148276
manor,3.176503
maple,2.698065
march,91.785506
marry,17.476143
marsh,5.66935
mason,7.218529
masse,1.151911
match,21.959964
matey,0.064228
mauve,0.515093
maxim,2.528507
maybe,48.733
mayor,11.230258
mealy,0.232015
meant,55.95952
meaty,0.264947
mecca,2.17043
medal,3.855518
media,52.017132
medic,0.478402
melee,0.460489
melon,0.826811
mercy,11.941722
merge,3.705906
merit,11.791198
merry,4.39971
metal,42.192006
meter,8.068739
metro,2.251002
micro,7.299533
midge,0.343394
midst,10.477059
might,7.881085
milky,1.633956
mimic,2.16012
mince,0.444768
miner,2.290792
minim,0.165531
minor,33.774118
minty,0.115692
minus,3.517182
mirth,1.241663
miser,0.509955
missy,0.573819
mocha,0.196414
modal,3.275023
model,160.019966
modem,6.064498
mogul,0.53146
moist,5.134814
molar,3.583598
moldy,0.265494
money,142.643929
month,51.972038
moody,2.346827
moose,1.584252
moral,70.435766
moron,0.347631
morph,0.381297
mossy,0.561269
motel,2.138437
motif,4.839729
motor,35.304912
motto,2.620816
moult,0.277386
mound,4.353926
mount,16.19201
mourn,1.560147
mouse,15.087675
mouth,49.593571
mover,1.293131
movie,16.009692
mower,0.570077
mucky,0.072394
mucus,2.664542
muddy,3.134953
mulch,0.58868
mummy,1.530433
munch,0.582135
mural,1.703698
murky,0.973794
mushy,0.287621
music,84.152561
musky,0.171445
musty,0.629679
myrrh,0.336853
nadir,0.82951
naive,5.537235
nanny,0.996258
nasal,7.633944
nasty,3.422189
natal,3.1074
naval,17.295807
navel,1.003203
needy,2.448665
neigh,0.201742
nerdy,0.052935
nerve,32.242765
never,14.70637
newer,5.478101
newly,19.229283
nicer,0.82444
niche,3.179147
niece,2.714829
night,145.767264
ninja,0.169083
ninny,0.0941
ninth,7.440483
noble,17.515592
nobly,0.766198
noise,31.80845
noisy,4.272475
nomad,0.578924
noose,0.718682
north,136.206847
nosey,0.096356
notch,2.926033
novel,40.558914
nudge,0.497358
nurse,24.643426
nutty,0.279455
nylon,2.435885
nymph,0.871389
oaken,0.211711
obese,2.420366
occur,83.251394
ocean,24.817408
octal,0.34865
octet,0.369156
odder,0.113112
oddly,2.667099
offal,0.232494
offer,58.590939
often,302.637484
olden,0.775909
older,58.064208
olive,6.721789
ombre,0.146139
omega,1.459363
onion,3.495174
onset,15.084155
opera,13.556893
opine,0.110083
opium,3.741506
optic,6.419748
orbit,7.386918
order,262.180982
organ,17.18103
other,1103.508722
otter,1.255461
ought,31.15222
ounce,2.718008
outdo,0.375494
outer,22.649748
outgo,0.078752
ovary,2.916063
ovate,0.366861
overt,5.477336
ovine,0.229815
ovoid,0.609407
owing,11.801683
owner,22.720906
oxide,10.744971
ozone,3.67176
paddy,2.940069
pagan,5.322547
paint,16.093399
paler,0.791432
palsy,2.364268
panel,18.167315
panic,9.705696
pansy,0.322072
papal,3.923646
paper,114.33983
parer,0.056486
parka,0.289888
parry,1.791849
parse,0.727085
party,147.305736
pasta,1.622734
paste,5.299362
pasty,0.296318
patch,7.567033
patio,1.768679
patsy,0.828214
patty,1.399849
pause,10.210209
payee,0.322734
payer,0.582658
peace,72.244053
peach,2.045708
pearl,7.325822
pecan,0.379858
pedal,1.769476
penal,3.461072
pence,1.08817
penne,0.067649
penny,5.164485
perch,1.692924
peril,3.073123
perky,0.19706
pesky,0.21516
pesto,0.128099
petal,0.63245
petty,6.446528
phase,74.834421
phone,31.743694
phony,0.924189
photo,15.895938
piano,10.872495
picky,0.200608
piece,48.026107
piety,4.57963
piggy,0.317759
pilot,14.705946
pinch,2.701371
piney,0.196438
pinky,0.335585
pinto,0.96036
piper,1.683184
pique,0.427414
pitch,11.871635
pithy,0.324196
pivot,2.076738
pixel,2.793117
pixie,0.162776
pizza,2.189117
place,302.443694
plaid,0.704249
plain,27.785478
plait,0.299814
plane,37.78289
plank,2.170668
plant,65.234508
plate,41.580502
plaza,4.251771
plead,2.484107
pleat,0.11771
plied,0.665676
plier,0.042755
pluck,1.199946
plumb,0.989951
plume,1.82341
plump,1.744931
plunk,0.077832
plush,0.709751
poesy,0.249971
point,274.902257
poise,1.021493
poker,2.085895
polar,7.693867
polka,0.422106
polyp,0.64911
pooch,0.083017
poppy,1.074978
porch,6.965708
poser,0.206051
posit,0.979205
posse,0.830727
pouch,2.409552
pound,12.048804
pouty,0.048158
power,279.523905
prank,0.414515
prawn,0.275301
preen,0.102294
press,262.789827
price,92.779885
prick,1.08402
pride,20.22046
pried,0.398021
prime,30.302422
primo,0.880015
print,24.905729
prior,47.911877
prism,2.317065
privy,2.945357
prize,11.589155
probe,8.827437
prone,7.112343
prong,0.357977
proof,27.457853
prose,11.340738
proud,17.000805
prove,33.349142
prowl,0.32443
proxy,3.146092
prude,0.155879
prune,0.716315
psalm,4.366571
pubic,1.300976
pudgy,0.262172
puffy,0.608278
pulpy,0.134469
pulse,17.490714
punch,5.586761
pupal,0.262811
pupil,10.349245
puppy,1.897286
puree,0.551002
purer,0.803047
purge,2.188348
purse,4.710254
pushy,0.280577
putty,0.565899
pygmy,0.364058
quack,0.521253
quail,1.083247
quake,0.549536
qualm,0.125107
quark,1.015725
quart,2.485264
quash,0.211422
quasi,6.514589
queen,27.616301
queer,4.01406
quell,0.73028
query,8.871231
quest,9.830866
queue,3.940247
quick,28.974385
quiet,30.55472
quill,0.854011
quilt,2.124785
quirk,0.60423
quite,147.135294
quota,3.763241
quote,8.002022
quoth,0.524032
rabbi,6.774982
rabid,0.548759
racer,0.362536
radar,6.092574
radii,1.478315
radio,39.072762
rainy,3.398295
raise,28.569435
rajah,0.666885
rally,3.559117
ralph,9.237457
ramen,0.042173
ranch,6.105929
randy,1.90412
range,110.080468
rapid,39.020173
rarer,1.008657
raspy,0.222287
ratio,44.986039
ratty,0.142968
raven,4.041079
rayon,0.865003
razor,2.112224
reach,51.865114
react,10.09552
ready,63.026681
realm,14.137494
rearm,0.120001
rebar,0.129685
rebel,6.345047
rebus,0.481023
rebut,0.287419
recap,0.27582
recur,1.933108
recut,0.070872
reedy,0.347703
refer,32.908211
refit,0.209357
regal,1.148363
rehab,0.474212
reign,12.885973
relax,7.149568
relay,4.163042
relic,1.439782
remit,0.799463
renal,22.266112
renew,2.979546
repay,2.500466
repel,1.180031
reply,22.495396
rerun,0.297305
reset,2.743084
resin,5.730387
retch,0.086747
retro,0.445026
retry,0.190409
reuse,2.164611
revel,0.765441
revue,3.828567
rhino,0.429848
rhyme,3.013533
rider,3.790005
ridge,12.380659
rifle,7.523972
right,336.057616
rigid,13.817563
rigor,1.398112
rinse,2.140086
ripen,0.660388
riper,0.195031
risen,7.513801
riser,0.59038
risky,3.994764
rival,9.169364
river,88.511874
rivet,0.684992
roach,0.912995
roast,2.277941
robin,6.159038
robot,4.767407
rocky,7.409378
rodeo,0.729277
roger,11.332731
rogue,1.424469
roomy,0.3414
roost,0.709473
rotor,3.730895
rouge,3.187281
rough,19.7373
round,62.224368
rouse,1.767264
route,28.285068
rover,1.165725
rowdy,0.552338
rower,0.097129
royal,43.616994
ruddy,0.929572
ruder,0.146484
rugby,1.213146
ruler,9.874113
rumba,0.129618
rumor,2.594836
rupee,0.91426
rural,47.446584
rusty,2.203728
sadly,5.255465
safer,4.422415
saint,19.885545
salad,3.911949
sally,5.860389
salon,2.39636
salsa,0.523056
salty,1.254094
salve,0.564535
salvo,0.416909
sandy,8.313938
saner,0.168028
sappy,0.082668
sassy,0.215941
satin,1.935348
satyr,0.399952
sauce,5.823873
saucy,0.317331
sauna,0.534972
saute,0.788364
savor,0.656194
savoy,1.098516
savvy,0.847059
scald,0.20081
scale,77.236609
scalp,3.177363
scaly,0.608666
scamp,0.170557
scant,2.202531
scare,2.768176
scarf,1.866252
scary,1.723526
scene,48.107522
scent,4.280311
scion,0.458995
scoff,0.322674
scold,0.654093
scone,0.146377
scoop,1.30622
scope,26.82991
score,22.422645
scorn,3.004364
scour,0.615405
scout,2.871936
scowl,0.578504
